code,field,university,avg_pref_success,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
207,2,ΔΠΘ,4.0,11992.0,12150.0,12772.0,12900.0,13276.0,12852.0,13164.0,14572.0
208,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,13140.0,13175.0,14019.0,13790.0,14365.0,13630.0,14105.0,15785.0
209,2,ΕΜΠ,1.0,18014.0,17775.0,18267.0,18196.0,18554.0,18230.0,18128.0,18738.0
210,2,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,14736.0,14500.0,14887.0,14260.0,14804.0,14518.0,14714.0,15698.0
211,2,ΑΠΘ,2.0,17169.0,16950.0,17750.0,17175.0,17750.0,17450.0,17525.0,18225.0
212,2/3/4,ΔΠΘ,6.0,6537.0,2050.0,9492.0,9595.0,8220.0,8950.0,8640.0,8080.0
213,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,16811.0,16500.0,17273.0,16830.0,17340.0,16700.0,17130.0,18120.0
214,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,8080.0,7325.0,11754.0,12475.0,12975.0,13400.0,14750.0,14400.0
215,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,14082.0,13575.0,14226.0,13896.0,14753.0,14260.0,14500.0,15785.0
216,2/4,ΠΑΝ. ΚΡΗΤΗΣ,3.0,14668.0,15075.0,15603.0,15617.0,16047.0,15813.0,15646.0,15867.0
217,2,ΕΜΠ,1.0,18314.0,17975.0,18487.0,18470.0,18820.0,18490.0,18390.0,18880.0
218,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,5148.0,3925.0,7797.0,8425.0,8575.0,8825.0,8550.0,8475.0
219,2,ΑΠΘ,1.0,17575.0,17450.0,17996.0,17910.0,18260.0,17920.0,17960.0,18550.0
220,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,15664.0,15650.0,16367.0,15740.0,16405.0,15725.0,16000.0,17015.0
221,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,16411.0,16350.0,16914.0,16395.0,16925.0,16470.0,16575.0,17520.0
222,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,5738.0,4925.0,7694.0,8575.0,8700.0,9100.0,9050.0,9375.0
223,2,ΔΠΘ,4.0,14724.0,14500.0,15039.0,14140.0,14750.0,14120.0,14310.0,15740.0
