code,field,university,avg_pref_success,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
245,2,ΑΠΘ,2.0,-569.0,1035.0,-430.0,680.0,-275.0,-260.0,765.0
246,2,ΕΜΠ,3.0,-39.0,733.0,-238.0,420.0,-730.0,350.0,1010.0
247,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,-720.0,-57.0,479.0,294.0,-1327.0,-11.0,547.0
248,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-1228.0,3852.0,478.0,40.0,-1170.0,225.0,900.0
249,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-911.0,-668.0,2948.0,795.0,-950.0,-2765.0,930.0
251,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,-310.0,1854.0,31.0,-60.0,-1425.0,140.0,1085.0
252,2,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-4376.0,6583.0,-263.0,225.0,-460.0,2065.0,-685.0
253,2,ΕΚΠΑ,2.0,-17.0,434.0,-617.0,-583.0,-451.0,330.0,1325.0
255,2,ΑΠΘ,2.0,-64.0,53.0,-165.0,413.0,-339.0,281.0,-1340.0
257,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,-186.0,-1276.0,296.0,490.0,-640.0,-600.0,660.0
259,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,121.0,-1559.0,1916.0,978.0,-2333.0,-1137.0,1051.0
261,2,ΠΑΝ. ΚΡΗΤΗΣ,3.0,-300.0,3322.0,-2237.0,665.0,-41.0,289.0,798.0
262,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,4.0,533.0,493.0,122.0,620.0,-430.0,110.0,-80.0
263,2/3,ΕΚΠΑ,4.0,-932.0,994.0,26.0,85.0,-325.0,95.0,475.0
265,2/3,ΑΠΘ,5.0,-1246.0,1212.0,-67.0,55.0,-160.0,-75.0,625.0
267,2/3,ΠΑΝ. ΠΑΤΡΩΝ,5.0,-1391.0,1300.0,15.0,-60.0,-60.0,-180.0,500.0
269,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,-1578.0,1425.0,-180.0,-45.0,-255.0,-150.0,865.0
270,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,-1652.0,1481.0,-232.0,-184.0,-308.0,-104.0,805.0
272,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-393.0,330.0,845.0,900.0,25.0,550.0,700.0
273,2/3,ΑΠΘ,5.0,-1519.0,1063.0,32.0,-350.0,420.0,90.0,-1200.0
274,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,-1675.0,336.0,309.0,-1110.0,1160.0,40.0,390.0
275,2/3,ΑΠΘ,5.0,-2095.0,3297.0,-262.0,-1080.0,940.0,-330.0,-880.0
276,2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-3053.0,5697.0,-1267.0,-460.0,380.0,-100.0,-110.0
277,2/3,ΕΚΠΑ,4.0,-938.0,913.0,-111.0,151.0,-210.0,-65.0,267.0
279,2/3,ΑΠΘ,5.0,-946.0,943.0,-41.0,37.0,-117.0,-132.0,361.0
280,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,-1445.0,1475.0,-120.0,-265.0,5.0,-10.0,365.0
281,2/3,ΠΑΝ. ΠΑΤΡΩΝ,6.0,-1074.0,1118.0,-176.0,8.0,-284.0,-20.0,392.0
282,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,-1205.0,1224.0,-356.0,-90.0,-213.0,-35.0,478.0
283,2,ΕΚΠΑ,4.0,-1148.0,1429.0,396.0,75.0,-500.0,225.0,0.0
284,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,-1347.0,1267.0,-187.0,-380.0,30.0,-50.0,350.0
285,2,ΑΠΘ,4.0,-760.0,491.0,334.0,25.0,-50.0,0.0,675.0
287,2,ΠΑΝ. ΠΑΤΡΩΝ,5.0,-1158.0,4377.0,-657.0,0.0,-650.0,260.0,1220.0
288,2/3,ΠΑΝ. ΠΑΤΡΩΝ,5.0,-1203.0,3109.0,220.0,136.0,412.0,1066.0,927.0
289,3,ΕΚΠΑ,5.0,-823.0,874.0,11.0,180.0,-210.0,0.0,220.0
290,2/3,ΔΠΘ,6.0,-1259.0,1293.0,-193.0,-135.0,-145.0,25.0,300.0
291,3,ΑΠΘ,5.0,-818.0,906.0,-106.0,150.0,-300.0,0.0,450.0
293,3,ΠΑΝ. ΠΑΤΡΩΝ,6.0,-868.0,997.0,-12.0,120.0,-160.0,-50.0,300.0
294,3,ΧΑΡΟΚΟΠΕΙΟ,5.0,-1280.0,1258.0,-138.0,-38.0,-438.0,0.0,248.0
295,3,ΕΚΠΑ,1.0,-474.0,576.0,-26.0,200.0,-225.0,0.0,125.0
297,3,ΑΠΘ,1.0,-510.0,579.0,-104.0,250.0,-250.0,25.0,175.0
299,3,ΠΑΝ. ΠΑΤΡΩΝ,2.0,-573.0,596.0,84.0,230.0,-275.0,-15.0,300.0
300,3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,-649.0,700.0,-100.0,250.0,-325.0,-25.0,375.0
301,3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,2.0,-640.0,716.0,-66.0,200.0,-275.0,0.0,325.0
302,3,ΔΠΘ,4.0,-723.0,759.0,-84.0,225.0,-325.0,0.0,375.0
303,3,ΕΚΠΑ,4.0,-751.0,783.0,-83.0,150.0,-275.0,50.0,350.0
304,3,ΠΑΝ. ΚΡΗΤΗΣ,3.0,-669.0,706.0,-81.0,250.0,-350.0,0.0,375.0
305,3,ΑΠΘ,5.0,-827.0,860.0,25.0,140.0,-235.0,30.0,315.0
306,3,ΕΚΠΑ,6.0,-1900.0,1378.0,-328.0,-350.0,-500.0,25.0,400.0
307,3,ΑΠΘ,4.0,-889.0,797.0,-1.0,141.0,-120.0,-35.0,210.0
308,3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,6.0,-982.0,971.0,-46.0,25.0,-200.0,-50.0,450.0
309,4,ΕΚΠΑ,4.0,588.0,-58.0,-189.0,390.0,-244.0,322.0,-64.0
310,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,-1500.0,3736.0,134.0,-190.0,240.0,-130.0,-50.0
311,4,ΑΠΘ,3.0,463.0,-42.0,-528.0,140.0,70.0,150.0,50.0
312,4,ΟΠΑ,2.0,75.0,88.0,-138.0,500.0,-550.0,200.0,125.0
313,4,ΟΠΑ,2.0,313.0,746.0,-171.0,425.0,-375.0,400.0,0.0
314,4,ΟΠΑ,2.0,542.0,617.0,58.0,525.0,-225.0,375.0,-125.0
315,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,432.0,15.0,190.0,440.0,-260.0,440.0,-110.0
316,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,714.0,263.0,677.0,550.0,-210.0,440.0,-260.0
