code,field,university,avg_pref_success,diff_14_13,diff_15_14,diff_16_15,diff_17_16,diff_18_17,diff_19_18,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
148,1,ΕΚΠΑ,3.0,140.0,-342.0,-298.0,42.0,35.0,-581.0,-375.0,-165.0,-355.0,420.0,-530.0,270.0,-40.0
149,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,848.0,-711.0,649.0,538.0,-195.0,-483.0,-227.0,-1282.0,-983.0,730.0,-220.0,-370.0,30.0
150,4,ΟΠΑ,3.0,700.0,209.0,-540.0,-1231.0,143.0,645.0,296.0,284.0,396.0,390.0,-380.0,360.0,300.0
151,1,ΠΑΝ. ΚΡΗΤΗΣ,4.0,505.0,-649.0,-41.0,153.0,67.0,-495.0,229.0,60.0,-1230.0,865.0,-250.0,-355.0,-80.0
152,4,ΠΑΝΤΕΙΟ,6.0,525.0,647.0,-713.0,-1007.0,-253.0,-4.0,807.0,-798.0,648.0,200.0,-75.0,0.0,-125.0
153,1,ΠΑΝΤΕΙΟ,3.0,346.0,-248.0,-289.0,332.0,-183.0,-582.0,-647.0,-997.0,-13.0,480.0,-240.0,430.0,180.0
154,1/2/3/4,ΕΚΠΑ,2.0,313.0,-883.0,-2110.0,875.0,1145.0,-248.0,258.0,-344.0,-331.0,575.0,-450.0,0.0,0.0
155,4,ΠΑΝ. ΠΕΙΡΑΙΑ,3.0,706.0,-73.0,-738.0,-1189.0,-187.0,412.0,-169.0,-172.0,197.0,425.0,-225.0,300.0,150.0
156,1/2/3/4,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,117.0,-64.0,-3731.0,1502.0,2007.0,-766.0,-699.0,191.0,79.0,525.0,-200.0,-65.0,-265.0
157,4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,375.0,166.0,-430.0,-953.0,360.0,478.0,-1.0,-653.0,1723.0,840.0,440.0,890.0,390.0
158,1/2/3/4,ΠΑΝ. ΚΡΗΤΗΣ,4.0,134.0,-149.0,-3499.0,1480.0,1836.0,-942.0,-953.0,203.0,557.0,560.0,120.0,-440.0,-340.0
159,1/4,ΠΑΝΤΕΙΟ,4.0,204.0,127.0,278.0,155.0,-140.0,-1292.0,314.0,-1165.0,-350.0,700.0,-550.0,220.0,-20.0
160,1/2/3/4,ΔΠΘ,5.0,497.0,-141.0,-3715.0,1622.0,1986.0,-1050.0,-1300.0,414.0,-14.0,600.0,125.0,-300.0,-350.0
161,1/4,ΠΑΝ. ΜΑΚΕΔ.,2.0,-656.0,1399.0,-174.0,-1188.0,-140.0,4199.0,698.0,-418.0,1058.0,530.0,90.0,400.0,-660.0
162,1/2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,722.0,-231.0,-3566.0,1692.0,1872.0,-1129.0,-1553.0,535.0,65.0,450.0,225.0,-375.0,-300.0
163,1/2/3/4,ΑΠΘ,2.0,-107.0,-5.0,1466.0,-230.0,-813.0,-604.0,-493.0,228.0,372.0,-50.0,-325.0,150.0,-500.0
164,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,251.0,-256.0,-2899.0,1123.0,1558.0,-286.0,-61.0,516.0,-491.0,800.0,75.0,-75.0,-575.0
165,1,ΠΑΝΤΕΙΟ,4.0,605.0,-207.0,344.0,268.0,-206.0,-930.0,-137.0,-740.0,-600.0,720.0,-720.0,-160.0,-80.0
166,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,77.0,-171.0,-3613.0,1420.0,1900.0,-541.0,-673.0,76.0,-126.0,550.0,-275.0,100.0,-350.0
167,1,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,775.0,-352.0,411.0,439.0,-1074.0,-1115.0,-2182.0,553.0,347.0,570.0,-260.0,115.0,-75.0
168,1/2/3/4,ΑΠΘ,2.0,214.0,410.0,-341.0,839.0,-343.0,-470.0,-635.0,-741.0,141.0,475.0,-1250.0,-200.0,-300.0
169,1/2/3/4,ΠΑΝ. ΠΑΤΡΩΝ,5.0,349.0,120.0,-27.0,372.0,-1024.0,-910.0,-1940.0,1259.0,561.0,600.0,-1350.0,-280.0,605.0
170,1,ΠΑΝΤΕΙΟ,2.0,342.0,-603.0,-97.0,106.0,92.0,-294.0,265.0,34.0,-414.0,350.0,-230.0,-190.0,-20.0
171,1,ΕΚΠΑ,1.0,411.0,-454.0,-26.0,101.0,123.0,-341.0,267.0,132.0,-587.0,425.0,-250.0,-120.0,-80.0
172,1,ΑΠΘ,1.0,316.0,-601.0,-79.0,32.0,162.0,-182.0,196.0,42.0,-782.0,580.0,-225.0,-190.0,-110.0
173,1/2/3/4,ΕΚΠΑ,4.0,83.0,219.0,787.0,90.0,-231.0,-1805.0,-261.0,-649.0,246.0,-276.0,-130.0,-156.0,-136.0
174,1,ΠΑΝ. ΜΑΚΕΔ.,3.0,296.0,-382.0,-288.0,226.0,145.0,-895.0,84.0,-286.0,-1539.0,350.0,-700.0,-175.0,-100.0
175,1,ΠΑΝ. ΠΑΤΡΩΝ,4.0,426.0,-941.0,-211.0,75.0,-1087.0,-1586.0,-1074.0,-973.0,678.0,-430.0,-50.0,-690.0,-270.0
176,1/4,ΠΑΝ. ΜΑΚΕΔ.,3.0,546.0,-756.0,182.0,477.0,-185.0,-1195.0,-1071.0,-683.0,163.0,240.0,-830.0,400.0,-130.0
177,1,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,304.0,-650.0,90.0,80.0,-274.0,-1102.0,-1681.0,-59.0,-1066.0,400.0,-550.0,-225.0,-100.0
178,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,425.0,-580.0,-2916.0,1354.0,1618.0,-490.0,40.0,-537.0,-813.0,-225.0,-1050.0,-50.0,-625.0
179,1/4,ΠΑΝΤΕΙΟ,3.0,295.0,-138.0,-20.0,291.0,263.0,-539.0,93.0,-789.0,-346.0,580.0,-660.0,560.0,-180.0
180,4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,69.0,643.0,-107.0,-1016.0,-54.0,-1327.0,-1753.0,1682.0,-62.0,530.0,-300.0,40.0,830.0
181,1/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,584.0,33.0,275.0,432.0,-1017.0,-1761.0,-1937.0,1388.0,567.0,-65.0,-275.0,33.0,-264.0
182,1,ΕΚΠΑ,2.0,-4425.0,3981.0,-3961.0,4041.0,-3882.0,1621.0,-2580.0,6265.0,645.0,1860.0,-655.0,-270.0,-825.0
183,1,ΕΚΠΑ,2.0,-6079.0,6549.0,-2118.0,-3154.0,5210.0,-4074.0,2128.0,1885.0,680.0,760.0,360.0,-1085.0,1165.0
187,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,1048.0,-424.0,623.0,244.0,-432.0,-1044.0,-825.0,-597.0,-183.0,60.0,-200.0,310.0,-220.0
188,1,ΕΚΠΑ,4.0,250.0,7.0,238.0,256.0,-39.0,-1927.0,-1152.0,309.0,506.0,660.0,-810.0,160.0,-190.0
189,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,278.0,-1571.0,410.0,-97.0,-1264.0,-1930.0,-1475.0,626.0,684.0,-700.0,80.0,-690.0,-170.0
190,3,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,638.0,48.0,2112.0,-168.0,-1878.0,-3221.0,-2895.0,1366.0,604.0,-300.0,1680.0,-2195.0,440.0
192,1,ΕΚΠΑ,3.0,654.0,-93.0,278.0,507.0,197.0,-1234.0,-1416.0,-966.0,-214.0,25.0,-350.0,-545.0,120.0
200,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,-931.0,1110.0,15.0,728.0,-1686.0,-2734.0,-2199.0,5216.0,254.0,330.0,-335.0,1140.0,240.0
201,2,ΕΜΠ,2.0,881.0,-1321.0,345.0,-334.0,64.0,-475.0,15.0,676.0,18.0,403.0,-665.0,433.0,823.0
203,2,ΑΠΘ,3.0,825.0,-1352.0,76.0,-595.0,-113.0,-878.0,383.0,734.0,-379.0,705.0,-555.0,495.0,1205.0
205,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,1123.0,-1491.0,133.0,-603.0,-272.0,-804.0,190.0,639.0,-294.0,755.0,-465.0,260.0,1775.0
207,2,ΔΠΘ,4.0,1284.0,-1419.0,-278.0,-395.0,-584.0,-921.0,158.0,622.0,128.0,376.0,-424.0,312.0,1408.0
208,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,1169.0,-1496.0,44.0,-427.0,-229.0,-946.0,35.0,844.0,-229.0,575.0,-735.0,475.0,1680.0
209,2,ΕΜΠ,1.0,-461.0,-634.0,158.0,-303.0,-131.0,-19.0,-239.0,492.0,-71.0,358.0,-324.0,-102.0,610.0
210,2,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,1960.0,-1538.0,410.0,-446.0,120.0,-730.0,-236.0,387.0,-627.0,544.0,-286.0,196.0,984.0
211,2,ΑΠΘ,2.0,968.0,-947.0,327.0,-397.0,4.0,-294.0,-219.0,800.0,-575.0,575.0,-300.0,75.0,700.0
212,2/3/4,ΔΠΘ,6.0,-27.0,180.0,-1778.0,3911.0,-568.0,-3388.0,-4487.0,7442.0,103.0,-1375.0,730.0,-310.0,-560.0
213,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,1053.0,-964.0,427.0,-326.0,-116.0,-141.0,-311.0,773.0,-443.0,510.0,-640.0,430.0,990.0
214,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,-485.0,340.0,161.0,67.0,-1860.0,-2360.0,-755.0,4429.0,721.0,500.0,425.0,1350.0,-350.0
215,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,732.0,-89.0,-304.0,-453.0,57.0,-633.0,-507.0,651.0,-330.0,857.0,-493.0,240.0,1285.0
216,2/4,ΠΑΝ. ΚΡΗΤΗΣ,3.0,717.0,486.0,-1166.0,1282.0,152.0,644.0,407.0,528.0,14.0,430.0,-234.0,-167.0,221.0
217,2,ΕΜΠ,1.0,601.0,-532.0,88.0,-212.0,-176.0,74.0,-339.0,512.0,-17.0,350.0,-330.0,-100.0,490.0
218,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,1018.0,-62.0,-103.0,221.0,-2167.0,-3377.0,-1223.0,3872.0,628.0,150.0,250.0,-275.0,-75.0
219,2,ΑΠΘ,1.0,903.0,-837.0,267.0,-409.0,133.0,-249.0,-125.0,546.0,-86.0,350.0,-340.0,40.0,590.0
220,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,1580.0,-1195.0,239.0,-298.0,87.0,-665.0,-14.0,717.0,-627.0,665.0,-680.0,275.0,1015.0
221,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,1029.0,-1074.0,198.0,-348.0,-47.0,-331.0,-61.0,564.0,-519.0,530.0,-455.0,105.0,945.0
222,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,64.0,502.0,-670.0,991.0,-419.0,-4028.0,-813.0,2769.0,881.0,125.0,400.0,-50.0,325.0
223,2,ΔΠΘ,4.0,1251.0,-1194.0,-113.0,-420.0,-47.0,-780.0,-224.0,539.0,-899.0,610.0,-630.0,190.0,1430.0
224,2/4,ΔΠΘ,4.0,341.0,292.0,305.0,-68.0,-610.0,-1480.0,-167.0,484.0,266.0,570.0,-880.0,100.0,1230.0
225,2,ΕΜΠ,4.0,332.0,-691.0,409.0,-722.0,-328.0,-845.0,-22.0,1424.0,-309.0,635.0,-200.0,140.0,1100.0
227,2,ΑΠΘ,4.0,851.0,-1000.0,-58.0,-691.0,-772.0,-881.0,134.0,596.0,259.0,380.0,-265.0,-40.0,1225.0
228,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,25.0,162.0,57.0,129.0,-1840.0,-2446.0,132.0,1683.0,483.0,847.0,-344.0,284.0,1137.0
229,2,ΕΜΠ,2.0,502.0,-620.0,-4.0,-224.0,-68.0,-141.0,-318.0,590.0,-55.0,390.0,-490.0,80.0,750.0
230,2/4,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,214.0,484.0,131.0,116.0,-401.0,-1456.0,-636.0,742.0,98.0,-60.0,-100.0,260.0,220.0
231,2,ΕΜΠ,1.0,171.0,-526.0,161.0,-622.0,-43.0,-284.0,115.0,764.0,-644.0,665.0,-615.0,1045.0,615.0
232,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,68.0,-495.0,-488.0,-85.0,-939.0,-210.0,763.0,2475.0,-830.0,844.0,-300.0,136.0,538.0
233,2,ΑΠΘ,1.0,455.0,-1047.0,-95.0,-5.0,-376.0,-1150.0,933.0,-513.0,-302.0,915.0,-620.0,770.0,995.0
234,2,ΔΠΘ,3.0,-576.0,-120.0,-2832.0,1161.0,-1589.0,-304.0,1102.0,-12335.0,13205.0,1160.0,285.0,925.0,1190.0
235,2,ΕΜΠ,2.0,1004.0,-844.0,591.0,-230.0,-222.0,-116.0,-479.0,774.0,-204.0,585.0,-645.0,265.0,680.0
236,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2.0,-72.0,-357.0,-1516.0,544.0,-1346.0,-315.0,991.0,-883.0,1638.0,1130.0,-585.0,705.0,1125.0
237,2,ΑΠΘ,2.0,1345.0,-890.0,720.0,-392.0,-177.0,-553.0,-24.0,646.0,-416.0,555.0,-595.0,360.0,765.0
238,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,-674.0,965.0,-990.0,846.0,-579.0,-2042.0,-367.0,2891.0,-1026.0,110.0,560.0,820.0,250.0
239,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,1371.0,-691.0,624.0,-388.0,-176.0,-580.0,-218.0,630.0,-515.0,605.0,-690.0,545.0,845.0
240,4,ΟΠΑ,1.0,886.0,-305.0,-172.0,-158.0,417.0,659.0,-59.0,522.0,-497.0,425.0,-175.0,225.0,25.0
241,2,ΕΜΠ,3.0,593.0,-429.0,684.0,-112.0,-159.0,-671.0,-536.0,-229.0,-371.0,250.0,-50.0,425.0,900.0
242,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,5.0,-497.0,377.0,-252.0,530.0,-2254.0,-2971.0,-3413.0,6488.0,142.0,535.0,-445.0,70.0,730.0
243,2,ΕΚΠΑ,2.0,463.0,-280.0,546.0,-560.0,-348.0,-535.0,-342.0,396.0,-531.0,585.0,-320.0,95.0,1350.0
245,2,ΑΠΘ,2.0,875.0,-750.0,176.0,-520.0,-610.0,-601.0,-569.0,1035.0,-430.0,680.0,-275.0,-260.0,765.0
246,2,ΕΜΠ,3.0,739.0,-404.0,477.0,-346.0,70.0,-384.0,-39.0,733.0,-238.0,420.0,-730.0,350.0,1010.0
247,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,691.0,-124.0,246.0,-567.0,-1053.0,-865.0,-720.0,-57.0,479.0,294.0,-1327.0,-11.0,547.0
248,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,646.0,465.0,303.0,-264.0,-2211.0,-2723.0,-1228.0,3852.0,478.0,40.0,-1170.0,225.0,900.0
249,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,477.0,-6.0,169.0,-423.0,-1160.0,-1114.0,-911.0,-668.0,2948.0,795.0,-950.0,-2765.0,930.0
251,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,653.0,184.0,101.0,-333.0,-1642.0,-2128.0,-310.0,1854.0,31.0,-60.0,-1425.0,140.0,1085.0
252,2,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,1189.0,-515.0,283.0,-219.0,-1932.0,-2587.0,-4376.0,6583.0,-263.0,225.0,-460.0,2065.0,-685.0
253,2,ΕΚΠΑ,2.0,624.0,-677.0,490.0,-384.0,-132.0,-675.0,-17.0,434.0,-617.0,-583.0,-451.0,330.0,1325.0
255,2,ΑΠΘ,2.0,840.0,-588.0,293.0,-233.0,-250.0,-1061.0,-64.0,53.0,-165.0,413.0,-339.0,281.0,-1340.0
