code,field,university,avg_pref_success,base_2013,base_2014,base_2015,base_2016,base_2017,base_2018,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
351,1,ΠΑΝ. ΚΡΗΤΗΣ,5.0,11674.0,12448.0,11962.0,12517.0,13144.0,12470.0,11061.0,10375.0,9546.0,9075.0,9425.0,9250.0,9300.0,8975.0
352,4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,11990.0,12383.0,12849.0,12307.0,11386.0,11165.0,9823.0,11150.0,10943.0,11425.0,11500.0,11625.0,11900.0,11640.0
353,2/3/4,ΔΠΘ,5.0,10461.0,10656.0,10426.0,11953.0,11846.0,10805.0,7297.0,3825.0,9490.0,9525.0,8650.0,9050.0,9125.0,8975.0
354,1/4,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,10372.0,11031.0,10828.0,11060.0,11397.0,10511.0,8898.0,7100.0,8526.0,8650.0,8935.0,8790.0,8355.0,7970.0
355,1/4,ΠΑΝ. ΠΕΙΡΑΙΑ,2.0,17541.0,18178.0,18090.0,17987.0,18255.0,18578.0,18163.0,18145.0,17689.0,16960.0,17560.0,16795.0,18990.0,18950.0
356,2/4,ΧΑΡΟΚΟΠΕΙΟ,4.0,10944.0,11427.0,11595.0,11324.0,11188.0,10154.0,8647.0,9375.0,10307.0,10775.0,10775.0,11425.0,10725.0,11250.0
357,1,ΑΠΘ,3.0,16240.0,16666.0,16053.0,16215.0,16343.0,16370.0,15581.0,15800.0,15210.0,13780.0,14610.0,14320.0,14410.0,14730.0
360,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,6.0,10399.0,10812.0,10799.0,13317.0,13570.0,12284.0,8807.0,6550.0,10720.0,9525.0,9325.0,9600.0,9600.0,9900.0
361,4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,11567.0,12031.0,12371.0,12043.0,10749.0,10648.0,7566.0,9175.0,9491.0,9770.0,9470.0,9670.0,10030.0,10325.0
362,1/2/3/4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,10821.0,11492.0,11318.0,11338.0,11838.0,10955.0,9721.0,7900.0,8225.0,9125.0,9425.0,9150.0,9075.0,9025.0
363,2,ΑΠΘ,4.0,12329.0,13000.0,12954.0,12794.0,12297.0,10913.0,9265.0,9750.0,10071.0,11075.0,11575.0,11175.0,11350.0,12050.0
366,2/4,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,4.0,10663.0,11399.0,11596.0,11846.0,11926.0,11583.0,10745.0,10350.0,10011.0,10770.0,10290.0,9630.0,8640.0,9190.0
367,1/2/3/4,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,3.0,11002.0,11415.0,11351.0,12056.0,12297.0,11223.0,10137.0,8600.0,9464.0,9725.0,9670.0,9570.0,9410.0,9675.0
369,2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,11771.0,12236.0,12617.0,16087.0,16045.0,14815.0,12650.0,10650.0,11274.0,11825.0,12525.0,12725.0,12515.0,12718.0
370,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,3.0,16027.0,15672.0,15414.0,13142.0,14094.0,12773.0,11859.0,12760.0,14099.0,13950.0,14630.0,14575.0,15470.0,16020.0
372,2/3,ΠΑΝ. ΑΙΓΑΙΟΥ,6.0,11710.0,11258.0,11206.0,13156.0,12846.0,11770.0,9819.0,7050.0,9217.0,9525.0,9325.0,9600.0,9600.0,9900.0
373,1,ΔΠΘ,4.0,12080.0,12401.0,12655.0,13108.0,13769.0,13140.0,12372.0,11850.0,11021.0,9685.0,10115.0,10220.0,10660.0,10735.0
384,1,ΑΣΚΤ,3.0,13630.0,13537.0,13516.0,13417.0,13508.0,13682.0,12739.0,11900.0,11544.0,10570.0,10500.0,10060.0,10210.0,10065.0
385,1,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,2.0,15834.0,17209.0,16624.0,16124.0,15771.0,17317.0,16019.0,13640.0,16778.0,16880.0,17720.0,14820.0,14300.0,14360.0
400,4,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,9307.0,8587.0,8942.0,10287.0,9431.0,9173.0,5918.0,6025.0,7554.0,8375.0,8500.0,8750.0,8940.0,8980.0
401,1/2/3/4,ΕΚΠΑ,2.0,15744.0,16766.0,16322.0,17793.0,17793.0,17924.0,17501.0,17450.0,17416.0,16816.0,16999.0,17096.0,17399.0,17226.0
402,1/2/3/4,ΑΠΘ,3.0,13515.0,14090.0,14149.0,15411.0,15505.0,15825.0,15017.0,14609.0,14056.0,13479.0,13235.0,13945.0,13729.0,13440.0
403,1/2/3/4,ΑΠΘ,2.0,15235.0,16183.0,15924.0,17098.0,17166.0,17588.0,17045.0,17116.0,17180.0,16289.0,16406.0,16811.0,17161.0,17060.0
404,1/2/3/4,ΔΠΘ,3.0,12886.0,13618.0,13736.0,15033.0,15096.0,15352.0,14617.0,13941.0,13171.0,12479.0,12791.0,13444.0,13219.0,13425.0
405,1/2/3/4,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,13859.0,14651.0,14577.0,15834.0,15882.0,16372.0,15828.0,15666.0,15054.0,14511.0,14906.0,14860.0,15134.0,15470.0
406,1/2/3/4,ΑΠΘ,1.0,14287.0,6368.0,13812.0,13608.0,12575.0,15095.0,13578.0,14120.0,11377.0,11215.0,9810.0,14310.0,14590.0,14150.0
407,1/2/3/4,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,2.0,11321.0,6690.0,11472.0,11605.0,10524.0,12000.0,13120.0,12470.0,12820.0,13350.0,12380.0,12880.0,13440.0,10980.0
408,1/2/3/4,ΕΚΠΑ,1.0,13135.0,5272.0,13316.0,13352.0,11881.0,13454.0,13020.0,9950.0,10263.0,11360.0,11130.0,14510.0,15050.0,15150.0
409,1/2/3/4,ΠΑΝ. ΜΑΚΕΔ.,1.0,16121.0,8287.0,15614.0,15750.0,15126.0,17028.0,14430.0,14790.0,14450.0,14860.0,14960.0,15380.0,15600.0,15540.0
411,1,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,5.0,13287.0,13784.0,13777.0,14039.0,14397.0,14423.0,13046.0,13000.0,11237.0,11480.0,11400.0,11240.0,11530.0,11730.0
412,2/4,ΧΑΡΟΚΟΠΕΙΟ,4.0,13858.0,14530.0,14715.0,14557.0,14730.0,14782.0,15139.0,15575.0,16082.0,16220.0,16910.0,16170.0,16320.0,16360.0
